dataset,score
1, -0.997537 
2, -0.997522 
3, -0.998655 
4, -0.998700 
5, -0.999376 
6, -0.999441 
7, -0.994482 
8, -0.998903 
9, -0.997522 
10, -0.999198 
11, -0.999210 
12, -0.996636 
13, -0.998392 
14, -0.999165 
15, -0.997130 
16, -0.997978 
17, -0.998548 
18, -0.998063 
19, -0.997344 
20, -0.997611 
21, -0.998143 
22, -0.994755 
23, -0.999613 
24, -0.997691 
25, -0.999336 
26, -0.999936 
27, -0.999773 
28, -0.999685 
29, -0.996099 
30, -0.999815 
31, -0.999312 
32, -0.998995 
33, -0.995706 
34, -0.999794 
35, -0.999710 
36, -0.998368 
37, -0.999891 
38, -0.998765 
39, -0.999225 
40, -0.986260 
41, -0.997576 
42, -0.999387 
43, -0.999227 
44, -0.996097 
45, -0.999996 
46, -0.999429 
47, -0.999808 
48, -0.997114 
49, -0.998507 
50, -0.999856 
51, -0.998865 
52, -0.998270 
53, -0.997441 
54, -0.998918 
55, -0.997610 
56, -0.998288 
57, -0.999133 
58, -0.998406 
59, -0.997734 
60, -0.999410 
61, -0.997293 
62, -0.999435 
63, -0.997614 
64, -0.999813 
65, -0.998395 
66, -0.998873 
67, -0.999456 
68, -0.998884 
69, -0.997721 
70, -0.998300 
71, -0.998882 
72, -0.998948 
73, -0.997522 
74, -0.999434 
75, -0.998918 
76, -0.999838 
77, -0.996996 
78, -0.999746 
79, -0.999072 
80, -0.998866 
81, -0.997977 
82, -0.999826 
83, -0.999846 
84, -0.999221 
85, -0.998600 
86, -0.998729 
87, -0.999240 
88, -0.999675 
89, -0.999693 
90, -0.999024 
91, -0.998462 
92, -0.997024 
93, -0.999612 
94, -0.997385 
95, -0.999208 
96, -0.997422 
97, -0.999450 
98, -0.999698 
99, -0.999140 
100, -0.999364 
101, -0.994902 
102, -0.998965 
103, -0.998176 
104, -0.999287 
105, -0.999347 
106, -0.994512 
107, -0.999735 
108, -0.999995 
109, -0.998387 
110, -0.999706 
111, -0.999713 
112, -0.994482 
113, -0.998204 
114, -0.993690 
115, -0.999254 
116, -0.999554 
117, -0.999954 
118, -0.998057 
119, -0.999415 
120, -0.993854 
121, -0.998736 
122, -0.999603 
123, -0.997754 
124, -0.997877 
125, -0.993435 
126, -0.996240 
127, -0.999112 
128, -0.999161 
129, -0.999229 
130, -0.997852 
131, -0.995688 
132, -0.999842 
133, -0.999660 
134, -0.998591 
135, -0.996834 
136, -0.999631 
137, -0.998416 
138, -0.999682 
139, -0.997042 
140, -0.999124 
141, -0.999512 
142, -0.994350 
143, -0.998900 
144, -0.999614 
145, -0.999021 
146, -0.998668 
147, -0.996665 
148, -0.999288 
149, -0.998771 
150, -0.997133 
151, -0.999106 
152, -0.999487 
153, -0.995398 
154, -0.996161 
155, -0.993859 
156, -0.993370 
157, -0.998251 
158, -0.998951 
159, -0.999824 
160, -0.997251 
161, -0.997442 
162, -0.999266 
163, -0.997929 
164, -0.996649 
165, -0.999197 
166, -0.998335 
167, -0.999066 
168, -0.999835 
169, -0.997880 
170, -0.995943 
171, -0.997762 
172, -0.998668 
173, -0.998528 
174, -0.999403 
175, -0.998549 
176, -0.997667 
177, -0.998313 
178, -0.999540 
179, -0.999657 
180, -0.999305 
181, -0.994265 
182, -0.998737 
183, -0.998102 
184, -0.998700 
185, -0.998429 
186, -0.998325 
187, -0.998019 
188, -0.998395 
189, -0.999078 
190, -0.990024 
191, -0.998331 
192, -0.999475 
193, -0.996969 
194, -0.999588 
195, -0.999706 
196, -0.999009 
197, -0.999894 
198, -0.999692 
199, -0.999906 
200, -0.998515 
201, -0.996640 
202, -0.998509 
203, -0.990856 
204, -0.997906 
205, -0.998876 
206, -0.998958 
207, -0.999107 
208, -0.998806 
209, -0.996431 
210, -0.998531 
211, -0.999093 
212, -0.998288 
213, -0.998120 
214, -0.999235 
215, -0.997628 
216, -0.999410 
217, -0.999595 
218, -0.998208 
219, -0.998695 
220, -0.999040 
221, -0.986565 
222, -0.999260 
223, -0.999777 
224, -0.999501 
225, -0.998835 
226, -0.998683 
227, -0.995734 
228, -0.999150 
229, -0.999090 
230, -0.998297 
231, -0.996609 
232, -0.999698 
233, -0.997354 
234, -0.998344 
235, -0.998434 
236, -0.998067 
237, -0.994731 
238, -0.998625 
239, -0.999942 
240, -0.996845 
241, -0.998371 
242, -0.996966 
243, -0.997658 
244, -0.998328 
245, -0.999567 
246, -0.997866 
247, -0.999832 
248, -0.997439 
249, -0.999529 
250, -0.997996 
251, -0.997732 
252, -0.998757 
253, -0.997843 
254, -0.992553 
255, -0.999704 
256, -0.998839 
257, -0.999678 
258, -0.998882 
259, -0.997193 
260, -0.998748 
261, -0.994251 
262, -0.999853 
263, -0.996318 
264, -0.999070 
265, -0.999827 
266, -0.997697 
267, -0.998567 
268, -0.997821 
269, -0.995067 
270, -0.999684 
271, -0.999204 
272, -0.999598 
273, -0.997172 
274, -0.999822 
275, -0.999728 
276, -0.997708 
277, -0.996979 
278, -0.997655 
279, -0.996704 
280, -0.997812 
281, -0.999380 
282, -0.999972 
283, -0.999557 
284, -0.999328 
285, -0.999106 
286, -0.999921 
287, -0.998087 
288, -0.998179 
289, -0.997603 
290, -0.998537 
291, -0.999929 
292, -0.999153 
293, -0.999669 
294, -0.991828 
295, -0.998618 
296, -0.999523 
297, -0.998537 
298, -0.999375 
299, -0.999785 
300, -0.999746 
301, -0.998364 
302, -0.996695 
303, -0.999283 
304, -0.995606 
305, -0.998817 
306, -0.998715 
307, -0.999250 
308, -0.997760 
309, -0.997350 
310, -0.998295 
311, -0.998265 
312, -0.999086 
313, -0.999480 
314, -0.998549 
315, -0.998590 
316, -0.997263 
317, -0.997758 
318, -0.998283 
319, -0.999661 
320, -0.999913 
321, -0.999953 
322, -0.999560 
323, -0.996488 
324, -0.999286 
325, -0.998898 
326, -0.999966 
327, -0.998186 
328, -0.999561 
329, -0.999797 
330, -0.998951 
331, -0.998657 
332, -0.999863 
333, -0.997096 
334, -0.998612 
335, -0.999865 
336, -0.996792 
337, -0.999559 
338, -0.999025 
339, -0.997997 
340, -0.999894 
341, -0.999127 
342, -0.999567 
343, -0.999587 
344, -0.998367 
345, -0.998394 
346, -0.999653 
347, -0.998503 
348, -0.999430 
349, -0.999746 
350, -0.998359 
351, -0.999252 
352, -0.999102 
353, -0.997174 
354, -0.993397 
355, -0.999671 
356, -0.996804 
357, -0.996641 
358, -0.998007 
359, -0.998532 
360, -0.999967 
361, -0.998511 
362, -0.999362 
363, -0.999992 
364, -0.999989 
365, -0.998199 
366, -0.996258 
367, -0.999809 
368, -0.999687 
369, -0.998671 
370, -0.999080 
371, -0.999301 
372, -0.995910 
373, -0.999860 
374, -0.999683 
375, -0.997929 
376, -0.999993 
377, -0.998550 
378, -0.998921 
379, -0.999960 
380, -0.999035 
381, -0.998457 
382, -0.999518 
383, -0.998620 
384, -0.999994 
385, -0.998802 
386, -0.999372 
387, -0.998440 
388, -0.999350 
389, -0.999642 
390, -0.999169 
391, -0.997875 
392, -0.999208 
393, -0.999513 
394, -0.999701 
395, -0.999906 
396, -0.999948 
397, -0.999087 
398, -0.999662 
399, -0.996769 
400, -0.998893 
401, -0.995430 
402, -0.997281 
403, -0.999607 
404, -0.998810 
405, -0.997736 
406, -0.998937 
407, -0.999219 
408, -0.999674 
409, -0.999055 
410, -0.999860 
411, -0.995680 
412, -0.998400 
413, -0.999995 
414, -0.998732 
415, -0.998233 
416, -0.998084 
417, -0.999605 
418, -0.998910 
419, -0.996695 
420, -0.996842 
421, -0.998673 
422, -0.995277 
423, -0.998805 
424, -0.999960 
425, -0.999665 
426, -0.999435 
427, -0.999024 
428, -0.998880 
429, -0.999691 
430, -0.996245 
431, -0.999508 
432, -0.998118 
433, -0.995737 
434, -0.999760 
435, -0.997321 
436, -0.997810 
437, -0.999090 
438, -0.999847 
439, -0.999317 
440, -0.999493 
441, -0.999931 
442, -0.997979 
443, -0.998515 
444, -0.999892 
445, -0.999292 
446, -0.994272 
447, -0.999554 
448, -0.999861 
449, -0.998297 
450, -0.999263 
451, -0.995908 
452, -0.999666 
453, -0.999445 
454, -0.998795 
455, -0.999557 
456, -0.999916 
457, -0.999230 
458, -0.999842 
459, -0.997556 
460, -0.998466 
461, -0.999728 
462, -0.999568 
463, -0.998911 
464, -0.997332 
465, -0.999473 
466, -0.998892 
467, -0.995798 
468, -0.999537 
469, -0.999470 
470, -0.998201 
471, -0.998618 
472, -0.999481 
473, -0.999806 
474, -0.994128 
475, -0.998879 
476, -0.999468 
477, -0.995469 
478, -0.999719 
479, -0.995270 
480, -0.999152 
481, -0.997308 
482, -0.999313 
483, -0.999299 
484, -0.998058 
485, -0.997549 
486, -0.997506 
487, -0.999126 
488, -0.994735 
489, -0.998205 
490, -0.999718 
491, -0.999855 
492, -0.997876 
493, -0.998733 
494, -0.999877 
495, -0.996797 
496, -0.999747 
497, -0.991550 
498, -0.999630 
499, -0.998344 
500, -0.996007 
501, -0.997569 
502, -0.996400 
503, -0.999203 
504, -0.995973 
505, -0.999642 
506, -0.999310 
507, -0.997784 
508, -0.999170 
509, -0.997590 
510, -0.999300 
511, -0.999711 
512, -0.998872 
513, -0.999937 
514, -0.999616 
515, -0.998340 
516, -0.999455 
517, -0.997895 
518, -0.999939 
519, -0.999164 
520, -0.998546 
521, -0.999589 
522, -0.999368 
523, -0.999362 
524, -0.996362 
525, -0.999740 
526, -0.999346 
527, -0.997585 
528, -0.998950 
529, -0.998243 
530, -0.996208 
531, -0.999561 
532, -0.999890 
533, -0.999418 
534, -0.997975 
535, -0.998602 
536, -0.995472 
537, -0.998707 
538, -0.998809 
539, -0.996458 
540, -0.999667 
541, -0.998646 
542, -0.998306 
543, -0.999110 
544, -0.998617 
545, -0.997935 
546, -0.999399 
547, -0.998085 
548, -0.999558 
549, -0.999814 
550, -0.997377 
551, -0.998635 
552, -0.997946 
553, -0.999574 
554, -0.999907 
555, -0.999971 
556, -0.998943 
557, -0.999179 
558, -0.999109 
559, -0.999957 
560, -0.995911 
561, -0.998620 
562, -0.997630 
563, -0.999630 
564, -0.998214 
565, -0.997435 
566, -0.999263 
567, -0.999391 
568, -0.998217 
569, -0.999553 
570, -0.994594 
571, -0.999624 
572, -0.998548 
573, -0.999809 
574, -0.999657 
575, -0.998834 
576, -0.998480 
577, -0.998939 
578, -0.998743 
579, -0.999585 
580, -0.998126 
581, -0.999439 
582, -0.999041 
583, -0.998971 
584, -0.998508 
585, -0.999611 
586, -0.999771 
587, -0.998231 
588, -0.999292 
589, -0.996745 
590, -0.998647 
591, -0.999991 
592, -0.998055 
593, -0.999393 
594, -0.998058 
595, -0.999074 
596, -0.993011 
597, -0.992148 
598, -0.999769 
599, -0.998868 
600, -0.999018 
601, -0.997546 
602, -0.991747 
603, -0.999507 
604, -0.999589 
605, -0.998793 
606, -0.998865 
607, -0.999770 
608, -0.998247 
609, -0.999754 
610, -0.996960 
611, -0.998888 
612, -0.998818 
613, -0.995970 
614, -0.998738 
615, -0.999763 
616, -0.999471 
617, -0.999867 
618, -0.992866 
619, -0.994462 
620, -0.999154 
621, -0.999124 
622, -0.999349 
623, -0.999288 
624, -0.996871 
625, -0.999798 
626, -0.998079 
627, -0.998896 
628, -0.994507 
629, -0.998018 
630, -0.999293 
631, -0.999023 
632, -0.998797 
633, -0.999463 
634, -0.999205 
635, -0.998173 
636, -0.997411 
637, -0.998711 
638, -0.997757 
639, -0.999271 
640, -0.995193 
641, -0.998437 
642, -0.998875 
643, -0.999587 
644, -0.997226 
645, -0.999287 
646, -0.998012 
647, -0.999335 
648, -0.989489 
649, -0.998998 
650, -0.999353 
651, -0.998617 
652, -0.994168 
653, -0.998815 
654, -0.999107 
655, -0.999787 
656, -0.999801 
657, -0.998724 
658, -0.999296 
659, -0.996829 
660, -0.999130 
661, -0.997448 
662, -0.999641 
663, -0.996830 
664, -0.996213 
665, -0.999432 
666, -0.996799 
667, -0.998612 
668, -0.997186 
669, -0.999898 
670, -0.998572 
671, -0.998795 
672, -0.997451 
673, -0.996836 
674, -0.999519 
675, -0.998157 
676, -0.999467 
677, -0.998309 
678, -0.998285 
679, -0.996976 
680, -0.998505 
681, -0.999678 
682, -0.999731 
683, -0.997220 
684, -0.999774 
685, -0.998052 
686, -0.997942 
687, -0.999422 
688, -0.999888 
689, -0.988919 
690, -0.998776 
691, -0.999872 
692, -0.996654 
693, -0.996916 
694, -0.999135 
695, -0.999567 
696, -0.999940 
697, -0.994718 
698, -0.999861 
699, -0.998897 
700, -0.999993 
701, -0.999403 
702, -0.993838 
703, -0.999673 
704, -0.998133 
705, -0.996840 
706, -0.999115 
707, -0.999887 
708, -0.999639 
709, -0.999637 
710, -0.999016 
711, -0.998565 
712, -0.995200 
713, -0.999890 
714, -0.999354 
715, -0.999684 
716, -0.998672 
717, -0.999481 
718, -0.999746 
719, -0.999052 
720, -0.999125 
721, -0.998703 
722, -0.999362 
723, -0.996962 
724, -0.998688 
725, -0.999863 
726, -0.998779 
727, -0.996767 
728, -0.998744 
729, -0.999680 
730, -0.998330 
731, -0.999414 
732, -0.999879 
733, -0.985716 
734, -0.996699 
735, -0.999282 
736, -0.999733 
737, -0.995143 
738, -0.999492 
739, -0.999964 
740, -0.998921 
741, -0.999684 
742, -0.998238 
743, -0.998242 
744, -0.999818 
745, -0.998814 
746, -0.996636 
747, -0.997908 
748, -0.998741 
749, -0.999370 
750, -0.999630 
751, -0.999911 
752, -0.999685 
753, -0.994402 
754, -0.999799 
755, -0.999627 
756, -0.999369 
757, -0.999261 
758, -0.998456 
759, -0.997600 
760, -0.999059 
761, -0.998791 
762, -0.999401 
763, -0.999594 
764, -0.997908 
765, -0.999936 
766, -0.998378 
767, -0.999447 
768, -0.998953 
769, -0.999652 
770, -0.999734 
771, -0.994561 
772, -0.999617 
773, -0.999930 
774, -0.999507 
775, -0.999443 
776, -0.997610 
777, -0.998438 
778, -0.996558 
779, -0.999887 
780, -0.999455 
781, -0.999507 
782, -0.998346 
783, -0.997383 
784, -0.999115 
785, -0.999462 
786, -0.997729 
787, -0.995586 
788, -0.999812 
789, -0.998509 
790, -0.991585 
791, -0.999077 
792, -0.997032 
793, -0.999823 
794, -0.999739 
795, -0.998729 
796, -0.997623 
797, -0.995333 
798, -0.999168 
799, -0.999743 
800, -0.998993 
801, -0.998088 
802, -0.999207 
803, -0.998692 
804, -0.995840 
805, -0.999445 
806, -0.997979 
807, -0.997031 
808, -0.999353 
809, -0.999526 
810, -0.999674 
811, -0.999136 
812, -0.997214 
813, -0.999654 
814, -0.998616 
815, -0.999511 
816, -0.999206 
817, -0.997568 
818, -0.998576 
819, -0.998121 
820, -0.999734 
821, -0.999961 
822, -0.998164 
823, -0.999382 
824, -0.999733 
825, -0.999271 
826, -0.999650 
827, -0.997677 
828, -0.999762 
829, -0.998352 
830, -0.999899 
831, -0.994839 
832, -0.997501 
833, -0.996573 
834, -0.999299 
835, -0.999272 
836, -0.997774 
837, -0.987874 
838, -0.996760 
839, -0.999128 
840, -0.990848 
841, -0.998670 
842, -0.998896 
843, -0.997135 
844, -0.998842 
845, -0.996503 
846, -0.999574 
847, -0.999865 
848, -0.999248 
849, -0.999036 
850, -0.995576 
851, -0.997950 
852, -0.999502 
853, -0.997007 
854, -0.999278 
855, -0.999293 
856, -0.999661 
857, -0.998437 
858, -0.998697 
859, -0.999476 
860, -0.996652 
861, -0.999802 
862, -0.999836 
863, -0.999082 
864, -0.998952 
865, -0.999768 
866, -0.999122 
867, -0.998485 
868, -0.999497 
869, -0.999082 
870, -0.999005 
871, -0.998085 
872, -0.999792 
873, -0.999868 
874, -0.999600 
875, -0.999267 
876, -0.997842 
877, -0.999186 
878, -0.996609 
879, -0.996776 
880, -0.998662 
881, -0.999197 
882, -0.999794 
883, -0.999276 
884, -0.996171 
885, -0.999700 
886, -0.999851 
887, -0.999285 
888, -0.996259 
889, -0.999629 
890, -0.993373 
891, -0.996131 
892, -0.999147 
893, -0.990446 
894, -0.997686 
895, -0.997964 
896, -0.997374 
897, -0.997691 
898, -0.998900 
899, -0.997247 
900, -0.996978 
901, -0.999495 
902, -0.999141 
903, -0.997116 
904, -0.999405 
905, -0.996523 
906, -0.999954 
907, -0.996258 
908, -0.998355 
909, -0.993329 
910, -0.995216 
911, -0.999277 
912, -0.998357 
913, -0.998654 
914, -0.998715 
915, -0.999313 
916, -0.999448 
917, -0.999634 
918, -0.999274 
919, -0.999295 
920, -0.997411 
921, -0.995846 
922, -0.991759 
923, -0.993812 
924, -0.995086 
925, -0.999773 
926, -0.999661 
927, -0.999397 
928, -0.996373 
929, -0.998717 
930, -0.999430 
931, -0.999070 
932, -0.997514 
933, -0.999758 
934, -0.999579 
935, -0.998942 
936, -0.999250 
937, -0.997348 
938, -0.999787 
939, -0.994788 
940, -0.999408 
941, -0.998687 
942, -0.997052 
943, -0.999423 
944, -0.997237 
945, -0.996730 
946, -0.999139 
947, -0.998708 
948, -0.999927 
949, -0.999010 
950, -0.999032 
951, -0.999430 
952, -0.998929 
953, -0.999600 
954, -0.998823 
955, -0.999964 
956, -0.997620 
957, -0.999368 
958, -0.997343 
959, -0.997933 
960, -0.995363 
961, -0.997283 
962, -0.997766 
963, -0.999852 
964, -0.998851 
965, -0.999314 
966, -0.999916 
967, -0.999854 
968, -0.999110 
969, -0.998321 
970, -0.998587 
971, -0.999133 
972, -0.999965 
973, -0.996607 
974, -0.999698 
975, -0.998804 
976, -0.994363 
977, -0.998342 
978, -0.998026 
979, -0.999499 
980, -0.997658 
981, -0.999094 
982, -0.999751 
983, -0.997552 
984, -0.998637 
985, -0.998674 
986, -0.998633 
987, -0.999175 
988, -0.997232 
989, -0.997317 
990, -0.999725 
991, -0.998478 
992, -0.991833 
993, -0.995932 
994, -0.998683 
995, -0.998298 
996, -0.994883 
997, -0.999347 
998, -0.998894 
999, -0.999977 
1000, -0.999910 
1001, -0.998953 
1002, -0.999894 
1003, -0.999146 
1004, -0.998089 
1005, -0.999291 
1006, -0.999129 
1007, -0.998522 
1008, -0.996753 
1009, -0.996713 
1010, -0.999941 
1011, -0.999190 
1012, -0.997892 
1013, -0.996939 
1014, -0.998801 
1015, -0.998972 
1016, -0.999007 
1017, -0.999963 
1018, -0.992796 
1019, -0.999963 
1020, -0.995901 
1021, -0.998948 
1022, -0.999433 
1023, -0.998728 
1024, -0.998754 
1025, -0.998197 
1026, -0.996380 
1027, -0.997697 
1028, -0.998969 
1029, -0.999194 
1030, -0.999425 
1031, -0.998777 
1032, -0.999663 
1033, -0.999909 
1034, -0.999336 
1035, -0.998236 
1036, -0.999845 
1037, -0.999578 
1038, -0.998314 
1039, -0.997609 
1040, -0.999908 
1041, -0.998991 
1042, -0.998474 
1043, -0.999867 
1044, -0.998122 
1045, -0.997971 
1046, -0.996802 
1047, -0.999984 
1048, -0.997841 
1049, -0.999100 
1050, -0.998920 
1051, -0.998707 
1052, -0.998034 
1053, -0.999996 
1054, -0.998884 
1055, -0.993971 
1056, -0.998158 
1057, -0.999531 
1058, -0.998988 
1059, -0.998396 
1060, -0.999512 
1061, -0.995320 
1062, -0.992935 
1063, -0.997091 
1064, -0.999474 
1065, -0.999645 
1066, -0.999464 
1067, -0.999618 
1068, -0.999168 
1069, -0.999893 
1070, -0.999459 
1071, -0.999215 
1072, -0.999819 
1073, -0.999619 
1074, -0.999019 
1075, -0.999471 
1076, -0.997803 
1077, -0.997086 
1078, -0.997574 
1079, -0.994881 
1080, -0.994796 
1081, -0.998855 
1082, -0.998483 
1083, -0.999550 
1084, -0.999365 
1085, -0.994849 
1086, -0.997661 
1087, -0.999459 
1088, -0.998816 
1089, -0.996584 
1090, -0.998996 
1091, -0.999514 
1092, -0.993895 
1093, -0.996304 
1094, -0.999506 
1095, -0.996696 
1096, -0.998333 
1097, -0.998691 
1098, -0.999590 
1099, -0.998870 
1100, -0.998083 
1101, -0.998088 
1102, -0.999380 
1103, -0.995986 
1104, -0.999791 
1105, -0.999699 
1106, -0.998982 
1107, -0.999998 
1108, -0.998642 
1109, -0.999630 
1110, -0.999977 
1111, -0.998728 
1112, -0.996929 
1113, -0.998021 
1114, -0.999810 
1115, -0.998871 
1116, -0.999753 
1117, -0.999944 
1118, -0.998771 
1119, -0.997652 
1120, -0.998695 
1121, -0.992919 
1122, -0.997258 
1123, -0.999148 
1124, -0.999231 
1125, -0.999927 
1126, -0.997591 
1127, -0.999503 
1128, -0.999861 
1129, -0.999077 
1130, -0.993929 
1131, -0.997948 
1132, -0.997336 
1133, -0.995098 
1134, -0.996683 
1135, -0.999816 
1136, -0.999057 
1137, -0.999885 
1138, -0.999977 
1139, -0.999357 
1140, -0.999391 
1141, -0.999967 
1142, -0.999133 
1143, -0.999838 
1144, -0.999862 
1145, -0.997273 
1146, -0.998189 
1147, -0.998082 
1148, -0.999638 
1149, -0.999094 
1150, -0.998866 
1151, -0.997395 
1152, -0.997955 
1153, -0.998494 
1154, -0.999477 
1155, -0.998197 
1156, -0.999659 
1157, -0.999680 
1158, -0.997323 
1159, -0.998506 
1160, -0.999914 
1161, -0.999485 
1162, -0.997329 
1163, -0.998663 
1164, -0.996620 
1165, -0.998312 
1166, -0.999944 
1167, -0.997086 
1168, -0.999674 
1169, -0.997945 
1170, -0.999524 
1171, -0.998170 
1172, -0.997811 
1173, -0.999622 
1174, -0.996796 
1175, -0.998319 
1176, -0.998565 
1177, -0.999855 
1178, -0.999388 
1179, -0.999070 
1180, -0.999612 
1181, -0.999611 
1182, -0.998157 
1183, -0.999978 
1184, -0.999228 
1185, -0.998054 
1186, -0.999882 
1187, -0.998812 
1188, -0.999350 
1189, -0.997066 
1190, -0.999610 
1191, -0.998604 
1192, -0.996887 
1193, -0.999281 
1194, -0.998746 
1195, -0.999785 
1196, -0.999355 
1197, -0.999585 
1198, -0.999378 
1199, -0.996571 
1200, -0.994263 
